5
Hawaii County
-178.4383390000 29.6900332104
-178.4435880000 29.6614871774
-178.4157260000 29.6114856713
15
20
-175.7400360000 29.1860281295
-175.7999110000 29.1952804450
-175.9663390000 29.1066732121
-175.9921420000 29.0609431845
-175.9888760000 29.0297247178
-175.9254460000 28.9862169734
-175.9210210000 28.9839634638
-176.0000000000 28.9942419745
-176.0366360000 28.9677977521
-176.0429230000 28.9353144737
-176.0000000000 28.8649050935
-175.9696040000 28.8392746996
-175.9394840000 28.8334359801
-175.8649440000 28.8631451772
-175.8450470000 28.8788712262
-175.7461090000 28.8836862546
-175.6655880000 29.0445388096
-175.6647950000 29.0891378217
-175.6701350000 29.1199050756
-175.7400360000 29.1860281295
15
40
-156.0128630000 19.8877318526
-155.9432070000 19.7225595626
-155.9738770000 19.5089684574
-155.9578860000 19.4246037759
-155.9259340000 19.3667427386
-155.7474670000 19.2747756799
-155.6950380000 19.2175323321
-155.6250000000 19.2353790579
-155.5574650000 19.2983108741
-155.4959410000 19.4314969178
-155.2731780000 19.5843341337
-155.1820980000 19.5803100243
-154.9499360000 19.6832114043
-154.7935640000 19.8162147703
-154.7558290000 19.9083602346
-154.7716830000 19.9434492504
-154.8782650000 20.0127921436
-154.9202580000 20.0673736689
-154.9587250000 20.1675315306
-154.9845120000 20.1901300911
-155.0299990000 20.1978882159
-155.0346220000 20.2860146888
-155.1410060000 20.4070254269
-155.2500000000 20.4847388560
-155.3942570000 20.5579586824
-155.5368040000 20.6096670419
-155.5787660000 20.6108027568
-155.7413180000 20.7278625285
-155.8609470000 20.7601723294
-155.9241790000 20.7318585272
-155.9581300000 20.6649958326
-155.9478150000 20.5520593989
-155.8863530000 20.4423062455
-155.9599300000 20.3288119545
-156.0080870000 20.3048793246
-156.0906220000 20.2287573868
-156.1179200000 20.1475995642
-156.0857390000 20.0314172330
-156.0339360000 19.9877927249
-156.0128630000 19.8877318526
15
15
-157.0381470000 21.2190478473
-157.0000000000 21.1622702973
-156.8878170000 21.1536576804
-156.8169860000 21.1867487908
-156.7823030000 21.2190478473
-156.7500000000 21.3011038816
-156.8475650000 21.4343893553
-156.9762270000 21.4694906680
-157.0645600000 21.4549103251
-157.0888370000 21.4420542933
-157.1161800000 21.3825433914
-157.1126710000 21.3527737367
-157.0752110000 21.3017297788
-157.0480650000 21.2945037557
-157.0381470000 21.2190478473
15
41
-156.3467560000 21.4866109331
-156.4318080000 21.4571860734
-156.4602970000 21.4618426231
-156.4831390000 21.5173021841
-156.5853120000 21.5841984946
-156.6559450000 21.5742814348
-156.6983640000 21.5396349817
-156.7463990000 21.4523625963
-156.7394560000 21.3527737367
-156.6693730000 21.2605904946
-156.6250000000 21.2330389428
-156.6250000000 21.2190478473
