20
Jefferson County
-97.4024810000 29.3344557100
-97.4038770000 29.3095034057
-97.4349820000 29.3324565703
-97.4223100000 29.3473505541
-97.4461750000 29.3363562272
-97.4416730000 29.3595186181
-97.4710850000 29.3612822889
-97.4739840000 29.3880648800
-97.5202790000 29.3577924004
-97.5410690000 29.3726702083
-97.5684810000 29.3331777536
-97.8178250000 29.3863915749
-97.8962780000 29.3217685914
-97.9082030000 29.2857259834
-97.8831480000 29.2504883961
-97.8608780000 29.2295684936
-97.8010940000 29.2287085691
-97.7893450000 29.2016450046
-97.7985310000 29.1810981516
48
55
-94.8087840000 35.4265959988
-94.7816620000 35.4028749568
-94.7814480000 35.3728333378
-94.7469250000 35.3850595914
-94.7460940000 35.8337376992
-94.7530670000 35.8430418424
-94.7334140000 35.8603961900
-94.7524640000 35.8469031878
-94.7526550000 35.8717854019
-94.7881010000 35.8739691191
-94.7586670000 35.8888559428
-94.7615740000 35.9009218715
-94.8074720000 35.8703905407
-94.8272780000 35.9105400246
-94.8224720000 35.8694466151
-94.8771210000 35.8939890820
-94.8701860000 35.9146601308
-94.8759990000 35.8986052769
-94.9218520000 35.9397740858
-94.9157710000 35.9799686724
-94.9266130000 35.9835510583
-94.9253620000 35.9605602308
-94.9442440000 35.9582976553
-94.9446790000 35.9877619657
-94.9646610000 35.9957340295
-94.9699780000 36.0246117477
-94.9904630000 36.0124289688
-95.0086520000 36.0296324311
-95.0481950000 36.0267890732
-95.0612490000 36.0742790061
-95.0738980000 36.0728452537
-95.0687260000 36.0920037660
-95.0900650000 36.0479746416
-95.1007390000 36.0650178006
-95.0777970000 36.0844604283
-95.0828860000 36.0962323746
-95.1219020000 36.0764850961
-95.1252290000 36.1128701270
-95.2311100000 36.1435422431
-95.2636410000 36.0544299415
-95.2737350000 36.0857702301
-95.2821810000 36.0416931891
-95.3105770000 36.0463666014
-95.3086400000 35.4469824042
-95.3065490000 35.4439214946
-95.2415160000 35.4315566229
-95.1622540000 35.4468087586
-95.1254500000 35.4575130516
-95.0577470000 35.4588472731
-94.9819110000 35.4548314858
-94.8761750000 35.4634896349
-94.8569870000 35.4421587580
-94.8344420000 35.4508014822
-94.8119200000 35.4397051072
-94.8087840000 35.4265959988
48
31
-95.3274840000 32.4697923719
-95.3590320000 32.0569182396
