20
Wagoner County
-99.0607150000 39.5207584667
-99.0228120000 39.4312030974
-98.9604640000 39.3764011209
-98.9603350000 39.2617474978
-98.8384630000 39.2531908643
-98.7853470000 39.1916522683
-98.7230450000 39.1818600076
-98.6970670000 39.1476576738
-98.5998150000 39.1177556334
-98.5335460000 39.1258356141
-98.5335620000 39.1389111110
-98.5335770000 39.2075405460
-98.5448680000 39.8759188645
-99.4562000000 39.8765111187
-99.3748020000 39.7273343451
-99.3193440000 39.6980323742
-99.2951890000 39.6515129291
40
6
-98.1040730000 39.3697585805
-98.1119840000 39.8748395439
-98.5448680000 39.8759188645
-98.5335770000 39.2075405460
-98.1046220000 39.2073366263
-98.1040730000 39.3697585805
40
24
-99.6055680000 39.3686039986
-100.0029980000 39.3691557550
-100.0036700000 39.2527019724
-100.0003970000 38.4860923578
-99.9242710000 38.5283385334
-99.9056020000 38.5549594756
-99.9105220000 38.5888114164
-99.8906710000 38.6167267321
-99.8249890000 38.6401787585
-99.8051680000 38.6171605199
-99.8091350000 38.5435443191
-99.7750780000 38.4940113533
-99.7112050000 38.4582192883
-99.6198120000 38.4381477500
-99.5577850000 38.4710658032
-99.4864120000 38.6152795509
-99.4455720000 38.6419810925
-99.3810200000 38.6491153490
-99.3821640000 38.8364359569
-99.5784990000 38.8362513976
-99.5959550000 38.8361386804
-99.5958250000 38.9385559780
-99.6047900000 38.9384667011
-99.6055680000 39.3686039986
40
5
-102.0323410000 39.2538651164
-100.9541470000 39.2526783364
-100.9455640000 39.8748633339
-102.0282060000 39.8685679568
-102.0323410000 39.2538651164
40
9
-100.0029980000 39.3691557550
-99.6055680000 39.3686039986
-99.2999340000 39.3715122762
-99.2951890000 39.6515129291
-99.3193440000 39.6980323742
-99.3748020000 39.7273343451
-99.4562000000 39.8765111187
-100.0025630000 39.8793096635
-100.0029980000 39.3691557550
40
19
-96.6206510000 38.1879387652
-96.6248700000 37.9712755244
-96.6237030000 37.8954635823
-96.6001660000 37.8907232787
-96.5874790000 37.9084466016
-96.5356520000 37.8835396492
-96.5698390000 37.9443483351
-96.5456700000 37.9650841376
-96.4975430000 37.9294178643
-96.4756090000 37.9721325028
-96.4414520000 37.9771713917
-96.4413910000 37.7595533215
-95.9813770000 37.7593107454
-95.9813080000 37.8658673928
-96.0799640000 37.8660170197
-96.0878370000 38.0800115874
-96.1911850000 38.0808314082
-96.1925660000 38.1880421239
-96.6206510000 38.1879387652
40
18
-97.1412350000 37.9729195053
-97.1418230000 37.8658588076
-97.1422650000 37.3214939126
-97.0876080000 37.3212389835
-97.0171510000 37.2921983928
-96.9305880000 37.3612854537
-96.8830720000 37.3146781368
-96.8134540000 37.3372324685
-96.7977140000 37.2890353163
-96.7756810000 37.2827289718
-96.7763750000 37.9083668482
-96.7401660000 37.9046135995
-96.7216640000 37.9244795843
-96.7197270000 37.9090883127
-96.6522670000 37.8841762920
-96.6237030000 37.8954635823
-96.6248700000 37.9712755244
-97.1412350000 37.9729195053
40
58
-99.6669010000 37.0691912872
-99.6736760000 36.8048161387
-99.8445820000 36.8046353260
-99.7640000000 36.7092828258
-99.6945270000 36.6485821399
-99.6627040000 36.6430814470
-99.5985570000 36.6452126272
